major,location,distance.mi,time.min,pet
Computer Science,I don't have a favorite coffee shop or restaurant.,NA,NA,Woof
computer science,None.,NA,NA,Woof
"Neurobiology, Physiology, and Behavior",Burma Taste,104,664,"Cats rule, dogs drool"
Economics,I really like the CoHo!,1.2,1,Woof
Data Science,Hunan Style,1.3,7,"Cats rule, dogs drool"
"Neurobiology, Physiology, and Behavior",Chipotle,0.7,4,"Cats rule, dogs drool"
"Computer Science, Economics",Temple coffee,0.9,5,I prefer feathers or scales
Computer Science,Philz,0.7,4,"Cats rule, dogs drool"
Computer Science,Taqueria El Burrito,0.8,4,Woof
Biochemistry and Molecular Biology,Restaurant: Tasty Palace,31.7,162,"Cats rule, dogs drool"
Psychology,Yeti Restaurant in downtown Davis,0.8,4,"Cats rule, dogs drool"
Computer Science,Shah's,472,1,"Cats rule, dogs drool"
Genetics & Genomics,Red 88 noodle bar,0.9,5,"Cats rule, dogs drool"
Computer Science,UC Davis CoHo,1.2,1,"Cats rule, dogs drool"
Computer Science,Thai Canteen,0.6,4,"Cats rule, dogs drool"
Science and Technology Studies,Tim's Hawaiian,0.6,3,"Cats rule, dogs drool"
Biomedical Engineering,Peet's coffee and Blaze pizza,0.2,1,Woof
Economics,Good Friends,1,5,Woof
Computer science ,in-n-out,0.8,4,"Cats rule, dogs drool"
Computer Science and Engineering,In n Out,0.8,4,Woof
Spanish Linguistics,Mishka's!,0.7,4,Woof
Computer Science,California Coffee,0.3,1,"Cats rule, dogs drool"
computer science,petes,0.2,1,Woof
Economics,Starbucks,0.8,4,Woof
computer science,peets cofee is my favorite,0.2,1,"Cats rule, dogs drool"
Computer Science and Engineering,ali baba's,0.6,3,Woof
Spanish Linguistics,Tea List,0.7,4,Woof
Psychology,Philz,0.7,4,"Cats rule, dogs drool"
Computer Science,Guads,1.9,9,Woof
molecular and medical microbiology,Lazi Cow ^_^,1.1,5,"Cats rule, dogs drool"
Computer Science,Silo,0.2,1,"Cats rule, dogs drool"
Computer Science,Well Season,1.5,7,Woof
Computer science,guads,0.6,3,I prefer feathers or scales
Computer Science,In n out,0.8,4,"Cats rule, dogs drool"
Applied Mathematics,Good friends poke,1,5,"Cats rule, dogs drool"
Electrical Engineering, Sophiaâ€™s Thai Kitchen or Thai Canteen,0.7,4,Woof
cognitive science ,peets,0.2,1,Woof
Computer Science and Engineering,Guad's,0.6,3,Woof